user_login,repo_name,repo_url,created_at,updated_at,forks_count,stargazers_count,language
cferdinandi,academy-expert-edit-ui-template,https://github.com/cferdinandi/academy-expert-edit-ui-template,2023-01-05T02:44:56Z,2023-01-05T02:45:32Z,0,0,JavaScript
cferdinandi,academy-expert-hosted-api,https://github.com/cferdinandi/academy-expert-hosted-api,2022-10-12T16:48:57Z,2022-10-12T16:49:20Z,0,0,JavaScript
cferdinandi,academy-expert-login,https://github.com/cferdinandi/academy-expert-login,2022-10-18T20:02:13Z,2022-10-18T20:02:28Z,0,0,HTML
cferdinandi,academy-expert-login-template,https://github.com/cferdinandi/academy-expert-login-template,2022-10-18T19:38:07Z,2022-10-18T19:38:23Z,0,0,HTML
cferdinandi,academy-expert-remove-from-cart,https://github.com/cferdinandi/academy-expert-remove-from-cart,2022-10-11T20:41:42Z,2024-09-23T16:00:56Z,0,0,HTML
cferdinandi,academy-expert-save-login-state,https://github.com/cferdinandi/academy-expert-save-login-state,2022-10-26T18:28:20Z,2022-10-26T21:23:38Z,0,1,JavaScript
cferdinandi,academy-expert-save-login-state-template,https://github.com/cferdinandi/academy-expert-save-login-state-template,2022-10-18T22:15:15Z,2024-01-19T06:02:04Z,0,1,HTML
cferdinandi,academy-expert-security,https://github.com/cferdinandi/academy-expert-security,2022-10-17T17:14:28Z,2022-10-17T17:15:12Z,0,0,HTML
cferdinandi,academy-expert-structure,https://github.com/cferdinandi/academy-expert-structure,2022-10-04T20:00:22Z,2024-09-23T15:56:23Z,0,0,HTML
cferdinandi,academy-expert-view-cart,https://github.com/cferdinandi/academy-expert-view-cart,2022-10-11T19:44:47Z,2024-09-23T16:00:04Z,0,0,HTML
processing,ambientlightsensor,https://github.com/processing/ambientlightsensor,2015-03-17T19:35:14Z,2024-09-24T12:39:28Z,0,0,Java
processing,cardboard-wrapper-sdk,https://github.com/processing/cardboard-wrapper-sdk,2023-11-06T14:02:59Z,2023-12-03T10:56:55Z,1,2,C++
processing,OSACC-p5.js-Access-Report,https://github.com/processing/OSACC-p5.js-Access-Report,2023-07-31T04:26:06Z,2023-10-14T20:01:36Z,0,6,
processing,p5-tern.yuidoc,https://github.com/processing/p5-tern.yuidoc,2017-06-27T19:22:06Z,2021-03-18T04:40:37Z,3,5,JavaScript
processing,p5.accessibility,https://github.com/processing/p5.accessibility,2017-09-12T18:18:50Z,2024-07-02T18:33:21Z,27,74,JavaScript
processing,p5.js,https://github.com/processing/p5.js,2013-02-26T03:14:47Z,2024-10-26T15:04:26Z,3313,21623,JavaScript
processing,p5.js-editor,https://github.com/processing/p5.js-editor,2014-07-04T21:45:04Z,2024-08-06T19:13:52Z,91,338,JavaScript
processing,p5.js-example,https://github.com/processing/p5.js-example,2023-10-24T02:21:06Z,2024-01-05T17:05:37Z,0,1,GLSL
processing,p5.js-getting-started-es,https://github.com/processing/p5.js-getting-started-es,2017-11-09T23:35:46Z,2023-03-15T11:26:14Z,8,14,HTML
processing,p5.js-libraries,https://github.com/processing/p5.js-libraries,2024-03-08T23:41:27Z,2024-10-13T17:50:35Z,40,23,TypeScript
processing,p5.js-offline-reference,https://github.com/processing/p5.js-offline-reference,2024-07-18T20:49:08Z,2024-10-18T06:14:28Z,0,1,JavaScript
processing,p5.js-release,https://github.com/processing/p5.js-release,2015-09-05T20:21:47Z,2024-09-25T18:58:51Z,7,5,JavaScript
processing,p5.js-showcase,https://github.com/processing/p5.js-showcase,2022-07-18T23:12:01Z,2024-03-23T03:31:32Z,8,6,JavaScript
processing,p5.js-sound,https://github.com/processing/p5.js-sound,2014-07-11T00:04:58Z,2024-10-23T12:06:50Z,682,874,JavaScript
processing,p5.js-translator,https://github.com/processing/p5.js-translator,2024-04-11T23:21:17Z,2024-08-21T21:19:16Z,1,0,Svelte
processing,p5.js-video,https://github.com/processing/p5.js-video,2014-02-14T19:29:32Z,2024-07-23T11:57:53Z,38,177,JavaScript
processing,p5.js-web-editor,https://github.com/processing/p5.js-web-editor,2016-05-03T04:06:57Z,2024-10-25T16:31:01Z,1329,1389,JavaScript
processing,p5.js-web-editor-policy,https://github.com/processing/p5.js-web-editor-policy,2021-08-12T18:45:26Z,2021-12-13T21:55:37Z,1,0,
processing,p5.js-website,https://github.com/processing/p5.js-website,2024-02-20T23:03:08Z,2024-10-22T14:27:34Z,78,16,MDX
processing,p5.js-website-legacy,https://github.com/processing/p5.js-website-legacy,2015-06-22T19:44:26Z,2024-10-17T07:41:54Z,484,241,JavaScript
processing,p5.js-website-OLD,https://github.com/processing/p5.js-website-OLD,2013-12-20T22:39:55Z,2024-07-02T18:34:09Z,75,61,JavaScript
processing,p5.js-website-translator,https://github.com/processing/p5.js-website-translator,2020-07-11T09:57:05Z,2022-08-23T00:57:03Z,4,7,Vue
processing,p5.sound.js,https://github.com/processing/p5.sound.js,2024-05-28T18:13:41Z,2024-10-19T22:33:26Z,2,9,JavaScript
processing,p5.sound.js-ARCHIVE,https://github.com/processing/p5.sound.js-ARCHIVE,2023-06-16T18:02:56Z,2024-09-26T06:09:14Z,6,33,JavaScript
processing,pr05-grant,https://github.com/processing/pr05-grant,2024-04-30T08:49:25Z,2024-10-26T14:36:17Z,6,13,
processing,processing,https://github.com/processing/processing,2013-01-24T21:17:22Z,2024-10-25T13:11:15Z,1501,6479,Java
processing,processing-android,https://github.com/processing/processing-android,2014-07-18T17:07:47Z,2024-10-25T05:41:13Z,293,781,Java
processing,processing-android-archive,https://github.com/processing/processing-android-archive,2013-04-21T16:45:21Z,2023-01-28T20:13:10Z,50,96,Java
processing,processing-android-library-template,https://github.com/processing/processing-android-library-template,2013-08-14T03:55:04Z,2024-06-26T01:45:02Z,61,33,CSS
processing,processing-android-website,https://github.com/processing/processing-android-website,2016-05-21T10:25:59Z,2024-07-23T11:29:38Z,8,7,HTML
davisking,awesome-cpp,https://github.com/davisking/awesome-cpp,2018-01-28T13:42:44Z,2024-09-16T20:23:06Z,18,27,
davisking,dlib,https://github.com/davisking/dlib,2014-01-29T00:45:33Z,2024-10-26T18:11:22Z,3372,13513,C++
davisking,dlib-models,https://github.com/davisking/dlib-models,2015-09-22T00:30:07Z,2024-10-25T12:56:16Z,375,1476,C++
davisking,googletest,https://github.com/davisking/googletest,2022-08-11T12:58:18Z,2022-08-11T08:55:30Z,0,0,
davisking,Marlin,https://github.com/davisking/Marlin,2022-01-15T22:34:28Z,2022-12-04T01:17:00Z,0,1,
davisking,pybind11,https://github.com/davisking/pybind11,2018-06-29T01:45:45Z,2021-05-06T09:29:42Z,1,1,C++
